a,b,c,d
0.5096842993,0.3449215683,0.2197239243,0.3239206526
0.4192361069,0.2031688904,0.6723821379,0.8138336994
0.5401022043,0.9921912473,0.07155264816,0.2223520569
0.632623197,0.6711395742,0.5362098362,0.1269112826
0.07678673957,0.3565016862,0.2538844176,0.4242950025
0.4874105739,0.252713936,0.712080395,0.6989636413
0.8653511235,0.4727668325,0.3493656099,0.9704885844
0.1752233197,0.8580306981,0.01416164113,0.9590157903
0.5219950451,0.5642924829,0.9918075931,0.8793987669
0.854185169,0.4312804456,0.9057447903,0.8400308136
0.2496215216,0.2997609345,0.01665980164,0.6113981829
0.5256246254,0.7025797018,0.4537014727,0.2184701812
0.7773168863,0.5807690145,0.05917681563,0.1220714922
0.2969398694,0.7101837014,0.1026456615,0.03802663652
0.1317472664,0.4049640421,0.1026563949,0.631335686
0.5774537614,0.7950091343,0.6254072054,0.7828805814
0.4569088828,0.3368057405,0.7644526824,0.7169545581
0.04405209275,0.2643936018,0.9125333462,0.1491410397
0.9507443774,0.02760060998,0.8764198054,0.8794440048
0.5842083305,0.6274659946,0.5367451676,0.3928892159
0.8955122098,0.7537782107,0.1604911709,0.5859829839
0.5952961819,0.7468739883,0.2427568115,0.5290670496
0.8312535243,0.1917211522,0.9220747852,0.1970401676
0.4614763566,0.2036694442,0.9732520839,0.09224453801
0.09164896639,0.5623431917,0.03226422662,0.09150761256
0.002773989711,0.4861197118,0.2969232877,0.1434943254
0.5654476076,0.02937985987,0.9763755947,0.8867719188
0.2970657039,0.6517747699,0.8441592978,0.918900706
0.1875909229,0.5612541486,0.2443218373,0.8822158061
0.4860571001,0.2611925265,0.6175926575,0.8091933051
0.06034437375,0.5013711742,0.8991711485,0.2201862984
0.2553559006,0.3516679243,0.5364893477,0.03701102754
0.3132868836,0.4763862835,0.9202864659,0.7631840376
0.104318533,0.2851353343,0.4177543733,0.516107006
0.4292095394,0.6462710684,0.5332567085,0.2832332117
0.6125472392,0.9333035763,0.3152303714,0.5077422638
0.4626467454,0.7057207724,0.9477992611,0.4118193506
0.7069326446,0.6083604273,0.6411963089,0.8910570723
0.3573871955,0.1749638427,0.7126113738,0.3418569615
0.8996328041,0.07215553809,0.950727768,0.01430004849
0.04724141431,0.2446685384,0.07762066562,0.7853375045
0.1608588043,0.5143846891,0.1229748833,0.8819848358
0.4214259207,0.1228731762,0.3011417843,0.7939797237
0.8815288738,0.3915155978,0.6958394711,0.7814010011
0.4439433289,0.07553068724,0.3727552878,0.7615758767
0.374409464,0.5818786973,0.08377247884,0.3683448658
0.9899294933,0.1187671467,0.4014778192,0.5685096489
0.06915770698,0.6090114308,0.6220271462,0.5595857153
0.1595540548,0.7359109919,0.5084386068,0.7045890693
0.2329678748,0.03259270194,0.3399586944,0.05645224182
0.9886431071,0.7427660704,0.03126535105,0.7292813742
0.2576114023,0.9690281519,0.2205030584,0.1340893432
0.4871287751,0.4065577726,0.5439985357,0.6179781656
0.02453108908,0.7449006851,0.01664899837,0.7632656213
0.03249802875,0.02965401749,0.1459843522,0.6408019322
0.3532835866,0.4939428605,0.3473581715,0.9615931875
0.2918184026,0.8537398124,0.6155473636,0.3552247356
0.1270379268,0.1259917815,0.4336252646,0.3654410054
0.6810643436,0.3148121151,0.3993354647,0.03053063494
0.9528797882,0.1290803352,0.8098651406,0.7013259144
0.2353670942,0.3747876394,0.1984277563,0.7562456006
0.4318457382,0.9967400189,0.6626892965,0.5111869508
0.6347227693,0.3364181266,0.2003252174,0.5413886778
0.301056625,0.8239463259,0.7637786847,0.6552935262
0.4441603799,0.33772631,0.8155043986,0.06848219165
0.04548148662,0.2709726236,0.1246585838,0.6591615116
0.03471336986,0.712290158,0.9701661055,0.6643970613
0.9520651381,0.3756720204,0.3496562091,0.326323211
0.8442220001,0.5107899461,0.9026890079,0.542632418
0.3469760847,0.291368387,0.4082087104,0.5121587758
0.2882206968,0.2140493866,0.8101917324,0.5005469422
0.8098131526,0.6096458731,0.2106553001,0.872608309
0.2133706684,0.9415404808,0.8702682174,0.6119646008
0.1667827241,0.5636359806,0.6838634497,0.1785513953
0.9606328567,0.1011698653,0.735281169,0.71115153
0.6948295769,0.5487648112,0.5971291356,0.5862243401
0.2546695966,0.03759741655,0.1849253742,0.3152077909
0.3538690888,0.6923581247,0.3413271435,0.02822920012
0.6643494764,0.4672831538,0.8177161447,0.6303374348
0.7550330802,0.5106606445,0.2187764147,0.2223531448
0.1514530968,0.04019386953,0.7530073889,0.3690417276
0.9760685111,0.2832833013,0.4101558259,0.86169018
0.02985473596,0.7877747488,0.231300563,0.9396871682
0.4360282712,0.4965253835,0.8350577337,0.7952136319
0.3093890857,0.4671693503,0.8715003079,0.8657480183
0.2456914357,0.3990168265,0.3016598867,0.5018761389
0.7733669024,0.7898400492,0.05466436722,0.6342304808
0.4355946549,0.2155926731,0.6945566396,0.06647684585
0.9531814884,0.5729141047,0.3284221987,0.01934944569
0.8554531512,0.404871478,0.8191084513,0.8869425224
0.223784597,0.6316513389,0.5986759678,0.5453828996
0.7521968015,0.9383241205,0.2683236769,0.9236933302
0.2538420335,0.3556550454,0.9918313814,0.4045929513
0.8512943399,0.8145754646,0.2300391756,0.7616764915
0.9089776205,0.06301564577,0.6886391518,0.1434188412
0.6668972843,0.9906466338,0.8830389071,0.1236681509
0.4101209962,0.7086901572,0.2185254136,0.3997955763
0.788010707,0.739435229,0.9389903778,0.7113562154
0.1631752383,0.7741475223,0.5724701321,0.8594812966
0.5457473443,0.3729328112,0.5188403923,0.7386824797
0.6908968028,0.08280627925,0.06723392896,0.2467132857
0.8520623845,0.5969710473,0.7697327278,0.1974065865
0.2574451556,0.6621468831,0.8412805098,0.8651817484
0.01981522138,0.2443995292,0.2825485884,0.04322511391
0.5190242752,0.9831608668,0.7771341748,0.6718284665
0.0004103303537,0.1207361244,0.958094514,0.4928543603
0.7656130577,0.9840407828,0.4242176295,0.5253199939
0.2034114064,0.5991055566,0.7023042489,0.4747723188
0.740090005,0.1727109475,0.4240999291,0.9793393433
0.2582002903,0.2728668187,0.6322054634,0.1523861834
0.5328537481,0.5311755568,0.7124676069,0.7543900409
0.4049975132,0.07053712315,0.5414349568,0.8602525353
0.7167405691,0.7655360894,0.5152671742,0.9190770436
0.8896105725,0.6254855075,0.2940967351,0.7109777547
0.4293142759,0.0750044072,0.8765165098,0.2152962282
0.2589801994,0.06160881812,0.3056520717,0.9823340837
0.7902310273,0.7894298794,0.482089215,0.6202306442
0.2246628439,0.1214859719,0.4610331194,0.3483662429
0.5774276344,0.1182897857,0.4131676013,0.6095228799
0.373249996,0.6762975414,0.919954477,0.6727504995
0.7117660179,0.7939550458,0.898307778,0.3031826215
0.5369879704,0.06725506835,0.5215812237,0.8497801425
0.4721997638,0.1823835377,0.6413496131,0.6349174852
0.1462480017,0.27381357,0.8224393469,0.2693787754
0.6794486645,0.7770121084,0.8183707033,0.3194693653
0.2625689439,0.8155410402,0.7696362131,0.3430597161
0.9534675119,0.4104432184,0.8006056594,0.005469418655
0.2269753016,0.3562781426,0.4239876725,0.5660547468
0.4659621875,0.6166765021,0.6519869791,0.8523602971
0.2248014523,0.8716277154,0.9538694917,0.03661736902
0.08734034737,0.6818598658,0.7118099804,0.02720849522
0.2267511758,0.5093225169,0.2527763043,0.963986341
0.8588116852,0.01064895095,0.8614073661,0.6625653274
0.4032633524,0.719033601,0.4684964405,0.6931989848
0.6483604621,0.5821755674,0.1163795864,0.8319955296
0.3316496291,0.7666367603,0.4529438656,0.9719452073
0.2481392309,0.1621616242,0.9205527935,0.07422765299
0.774866926,0.5082087357,0.3810680042,0.006379281376
0.00494587973,0.5287299041,0.2220534846,0.3505697508
0.5911430582,0.8281272713,0.1055710508,0.3960752061
0.4691881506,0.5598337169,0.615395355,0.3264104859
0.526783544,0.8921297487,0.7969345925,0.6079284043
0.6575218282,0.613334469,0.02667431742,0.6794473556
0.866819058,0.4677564251,0.7806493406,0.849673929
0.1244648753,0.367711825,0.7477668133,0.005027986269
0.3269047884,0.8301066768,0.5583885615,0.3504309164
0.2187884073,0.3089030632,0.2606336801,0.199408884
0.477251158,0.4519491379,0.9390538584,0.2841427614
0.08375430918,0.7513028963,0.1033036554,0.8140028381
0.7518322565,0.3589132969,0.6260808387,0.5718455198
0.8393551543,0.9798296662,0.1619441134,0.9050804753
0.29125477,0.8102055466,0.02913231904,0.3158557432
0.9148656321,0.8358907746,0.1395937001,0.1106832209
0.6462408716,0.2066776752,0.7556240037,0.0804999002
0.3229890299,0.4421092717,0.9774141929,0.4826916383
0.1989953721,0.6483881553,0.9603949241,0.7460398702
0.5929616245,0.5036138879,0.1864302038,0.3734615212
0.8606455273,0.9449017406,0.1498951412,0.4087176167
0.09117712354,0.6484436121,0.7448051069,0.47185523
0.648145377,0.1012850972,0.1196473686,0.8938592499
0.8586645298,0.4343400473,0.1938202497,0.4701398583
0.5752608568,0.5289492968,0.1709523541,0.8087984554
0.04099322455,0.7027125073,0.324780884,0.4665222548
0.8545900646,0.9000924844,0.6711822726,0.4637383634
0.9784349555,0.4781508662,0.3165340838,0.8409104059
0.08965086314,0.3561579879,0.6790375079,0.5768626616
0.8221471607,0.2204459193,0.6220257075,0.6356217585
0.965928401,0.7137133306,0.4246892424,0.8825389487
0.2652004178,0.5565624837,0.7138942985,0.04313867103
0.7204906389,0.1930026177,0.5553078338,0.848623095
0.3137020128,0.06213788668,0.1104521743,0.2684826386
0.3339131616,0.2228605156,0.9302085063,0.1896992172
0.4737188101,0.2764991696,0.918582911,0.9077321559
0.1643675357,0.4135036346,0.119111063,0.5546038844
0.4779404086,0.2669923501,0.6314602368,0.4501507981
0.7526728792,0.6235832862,0.07095039873,0.6533879557
0.543147485,0.6121835003,0.1687261651,0.3172179765
0.2273371618,0.8656801535,0.5827248248,0.07328306899
0.1261149125,0.5706376313,0.2809869749,0.9582441234
0.5968739274,0.3954210077,0.9988692472,0.3782743031
0.7771754323,0.2697182153,0.6403988986,0.3213705442
0.5932214493,0.6959371751,0.8182378702,0.8425875764
0.615032376,0.8300438489,0.01194185321,0.8647488664
0.2029326068,0.2501485916,0.2011281373,0.03721096985
0.6863936364,0.3761179178,0.2828199238,0.2624568911
0.4965672155,0.7675916426,0.3887971211,0.9408961705
0.1411093274,0.7667366429,0.5154150569,0.887115517
0.3251772753,0.1381080497,0.8817286203,0.8923770436
0.1311841525,0.4724813744,0.6965185434,0.8809271528
0.9545553958,0.691155506,0.3461363476,0.4577135252
0.6040086416,0.4049278321,0.557633556,0.4584690061
0.3664279387,0.9210977638,0.9259396185,0.6187373591
0.6926921671,0.7056455179,0.4943312426,0.7895438902
0.5052823855,0.2710602046,0.8116754606,0.1356506304
0.7323902276,0.7698002361,0.7134901596,0.1641449078
0.1325958515,0.6448587,0.04420819244,0.7185432989
0.8081759656,0.4584166186,0.934434926,0.494265934
0.5771885975,0.5881467178,0.6399022164,0.3771869575
0.4875835208,0.3181298712,0.9047263035,0.04353003455
0.04224832101,0.7216713055,0.7702251486,0.1466052016
0.9068051063,0.7142423782,0.6492463523,0.808953715
0.2250984411,0.714232693,0.8863034808,0.2775166391
0.9276540591,0.9472178957,0.3238547494,0.5313974196
0.7775026249,0.3664161079,0.8913507785,0.7129585366
0.7018046186,0.4754051552,0.1483109718,0.9629058013
0.6894417967,0.4753561276,0.2706518176,0.4198003291
0.7953742832,0.01760732132,0.9239257374,0.9132899084
0.8191848787,0.7118868983,0.1471902329,0.146487856
0.0453394085,0.0740381671,0.03720277572,0.5006006274
0.3441192305,0.8987140283,0.1970209324,0.5139830272
0.0998541295,0.3898651747,0.4045296269,0.0103923759
0.9888796717,0.7490090896,0.2596294187,0.4584345986
0.4570011448,0.6806642082,0.3941616552,0.4093263902
0.2287074207,0.4961988524,0.04576544413,0.6340760638
0.2919710137,0.2327864193,0.4593479168,0.8055340312
0.1547205535,0.132605002,0.3000541833,0.6263173704
0.3855935973,0.1600210734,0.1192711036,0.6364894058
0.5165874703,0.1058953656,0.8360276119,0.542524191
0.06506145636,0.2624350465,0.605993893,0.2082455356
0.5270193642,0.8237728231,0.2892156336,0.8873126339
0.1891948436,0.2734731378,0.5558426186,0.2613028597
0.9560313727,0.2323345531,0.7109228911,0.005298262811
0.5869974307,0.5518391087,0.9631838302,0.8748224414
0.8394707823,0.1464956851,0.4249665287,0.6479642066
0.1759506757,0.270795313,0.7845760831,0.4745584619
0.48854926,0.125857025,0.8052540178,0.4192898557
0.6212556966,0.3972358182,0.0728739915,0.9018901763
0.8087439286,0.2211913356,0.2582359455,0.3060315321
0.8124836819,0.7059634349,0.1359994202,0.1643630703
0.1127081657,0.8985217621,0.6047830755,0.5780567207
0.2478577942,0.29551453,0.5819979511,0.4515276838
0.9341867123,0.5241038122,0.7349093167,0.1082130752
0.9694565802,0.7256657249,0.4405418455,0.3452875477
0.6670885234,0.7464035694,0.8968707151,0.2346067831
0.8787477148,0.3820328245,0.456379689,0.6485079931
0.6424404544,0.5761307478,0.4331408926,0.8070040992
0.8211851866,0.458036129,0.8996929366,0.5713664528
0.2120639736,0.3912268103,0.9493983929,0.5071785967
0.1940670048,0.6150799843,0.2883587773,0.9708823993
0.8040167614,0.65479169,0.5242140388,0.008780205484
0.2208242604,0.1153542403,0.0878115246,0.4383160577
0.7728123968,0.8042828334,0.7786907152,0.3898857005
0.01048611169,0.6727799168,0.07681804627,0.9567609277
0.2668864381,0.1452568827,0.5707392691,0.9280439721
0.03061028179,0.9055360655,0.03488749014,0.05714269035
0.8886345174,0.7309503027,0.477686237,0.5670174424
0.8382970567,0.34554793,0.372347616,0.1813898979
0.9047848891,0.7989647025,0.1401466581,0.5676980198
0.3225703348,0.8675623093,0.9853490868,0.3313521731
0.8833118951,0.2219826714,0.4053942168,0.7460413092
0.6440770031,0.6146438381,0.270259534,0.6517116434
0.4370008773,0.1956640334,0.6307740961,0.1330057276
0.02554598452,0.1325933765,0.3306395801,0.6783486119
0.1174576087,0.04655297693,0.01570496083,0.3324721624
0.9446708946,0.7922202277,0.1353211581,0.5680680471
0.9981105345,0.178953877,0.4148908592,0.9787571737
0.2182957368,0.1136939877,0.4712035902,0.581033186
0.3158753509,0.5087666581,0.9491777162,0.4525860098
0.526006834,0.7165350507,0.4145499033,0.9405637897
0.6270735199,0.01429608821,0.3554936,0.4711073913
0.4921674244,0.7918069585,0.04543975547,0.1412682756
0.9551074995,0.7609084607,0.7517853979,0.9362533191
0.2664905284,0.1066064506,0.6595673397,0.8182263626
0.7134956284,0.7928886407,0.165443491,0.4611257007
0.216890924,0.2876463167,0.9657542611,0.9395317858
0.771934365,0.4735417641,0.3997473956,0.4672920918
0.05585846932,0.5263535148,0.5470407265,0.9196145813
0.323384543,0.3180589338,0.6077424227,0.5865738778
0.7652566347,0.5818215552,0.5172069398,0.1859916365
0.003468480106,0.2225896796,0.9862480175,0.1398200048
0.5017790922,0.4077344132,0.05786902177,0.02346346342
0.5899299631,0.934706366,0.1001777929,0.05031189728
0.7552541885,0.8692659914,0.1957645607,0.38721359
0.02065434543,0.5187027132,0.9875380926,0.3013184845
0.6514969381,0.4607204073,0.5944427545,0.6954838811
0.9185130194,0.04293106085,0.8363748904,0.9169946702
0.01575990735,0.6247692944,0.09038267623,0.05157924281
0.8607637729,0.9736616782,0.08111827088,0.8665656921
0.6667449727,0.7696471976,0.6545167484,0.1836352141
0.1489041538,0.5882642074,0.4748832403,0.1401242765
0.9226772235,0.5110406597,0.5694788038,0.7467927879
0.2113153906,0.6825600858,0.7125768055,0.4083258145
0.6067351237,0.5936720759,0.1295632627,0.3989520839
0.0750342381,0.7692901399,0.5080248599,0.1132694831
0.6779853647,0.8785368745,0.2449159218,0.6984978366
0.5639290843,0.1342993393,0.4187971261,0.1151103703
0.47719487,0.6686902338,0.09436736602,0.2832346512
0.1138950779,0.9548819478,0.4316207992,0.1326014134
0.6933840471,0.8569772316,0.9438136874,0.2550298038
0.7667432308,0.7092661191,0.2046752542,0.00409058164
0.6033640307,0.519478258,0.2698023444,0.02527338536
0.7500958618,0.6816089568,0.06288441532,0.6625546198
0.1407681436,0.40002472,0.3986400215,0.8623595205
0.9090503531,0.7341407574,0.2062752146,0.02266693346
0.1416446902,0.4666348256,0.1922664939,0.6895759194
0.6384146831,0.8267776768,0.8248241917,0.966791317
0.599528645,0.6128661293,0.8076508959,0.5643091139
0.3660885062,0.6516894444,0.08279706017,0.02494681579
0.5343084902,0.449004103,0.5485797015,0.877074606
0.7591888503,0.7641772822,0.8627631867,0.7905881494
0.1164629826,0.7125861148,0.1785089384,0.04990461004
0.5736399772,0.247799459,0.8353495306,0.6098353636
0.399958911,0.3875513807,0.320666789,0.8621821105
0.1696344269,0.1655588529,0.004710042698,0.03680381149
0.8913913192,0.4931553146,0.7212555101,0.5351679895
0.1926095211,0.8894977793,0.9277896033,0.9266292288
0.8024400171,0.157282264,0.6311310615,0.8940669251
0.1304064101,0.4759892417,0.404747668,0.8151863456
0.9904753132,0.1929664787,0.6649932127,0.3890716244
0.06835950232,0.9179509324,0.9997085419,0.005016089384
0.2284112907,0.203495705,0.9053407127,0.2912947113
0.238074123,0.7433707241,0.2797207562,0.7055119549
0.2980015748,0.1528124912,0.2922351759,0.4744831733
0.9323151647,0.9016005666,0.04859295724,0.4040675836
0.002001585946,0.8573856735,0.8356306189,0.2713467491
0.6476158569,0.7619325435,0.9387844644,0.5025693523
0.3571296727,0.355350131,0.6846636603,0.3529193027
0.9528744981,0.9070040481,0.7922686555,0.6442300436
0.4259404535,0.7635686751,0.0398661961,0.8501629086
0.1615199235,0.02764457365,0.9940414224,0.3014553175
0.8192631973,0.5315304397,0.8819242518,0.7140853094
0.3640049949,0.8916802473,0.6106908937,0.1986008494
0.03241401801,0.5997948104,0.3459077816,0.8429274697
0.8602966209,0.7498450749,0.7249159225,0.3674775151
0.1247974732,0.7900804646,0.5590618643,0.6957290108
0.4226547765,0.7662131048,0.03149747851,0.7126390472
0.7179609455,0.4443366399,0.7338197076,0.6198705088
0.9130079792,0.3881422017,0.9204914884,0.7782865288
0.9446157546,0.8229203899,0.3781540873,0.9474516986
0.4692270195,0.3624411531,0.9440792553,0.6632688289
0.3572959328,0.09094931963,0.689499368,0.6604239544
0.8295230947,0.3798704368,0.2197841808,0.9845319112
0.9054097737,0.6795244921,0.8058227025,0.8620535192
0.4720695465,0.9877578985,0.3120038138,0.4274016881
0.3788613591,0.2284090246,0.1931389765,0.5346905138
0.8023224676,0.2998305555,0.2302798656,0.3728021219
0.2304818792,0.6705989422,0.7782382572,0.4145383754
0.7865979675,0.6256642699,0.6975970326,0.330470393
0.2804152527,0.7506842663,0.9350917859,0.8731861912
0.7733320317,0.06830631213,0.727537719,0.8243956448
0.8000717022,0.9827480236,0.1093131544,0.7646403326
0.1590165021,0.9607869193,0.7672418492,0.8857690961
0.3907783071,0.2656650281,0.7247651263,0.8703459055
0.4684441051,0.5035851734,0.7273267278,0.4386595809
0.6082661743,0.8835487969,0.2648075784,0.5097528203
0.1688589217,0.4587933229,0.06822389196,0.6944061277
0.8845023252,0.3562674258,0.2485471247,0.9286656127
0.69199129,0.5259267799,0.5028362151,0.7758761896
0.09072890732,0.2754248704,0.8794451,0.592942505
0.8045417151,0.7173321842,0.4009746133,0.3576329066
0.859295614,0.8885466867,0.6652781417,0.466189259
0.9406255815,0.9535348494,0.8566780449,0.09147572622
0.2113443858,0.3787090719,0.8918450302,0.8756071157
0.1705644613,0.5947167672,0.4271373917,0.8231253768
0.6816965031,0.9174242884,0.9433745514,0.3850430221
0.1320073131,0.9544252195,0.9253057444,0.1733098029
0.1797299074,0.5798737457,0.4904506543,0.07273516539
0.4686355912,0.1502944454,0.4627807168,0.8070448038
0.7574896575,0.9824889392,0.4813143896,0.2569374663
0.9031624054,0.654017986,0.5756477984,0.9000180985
0.7067788682,0.5290013507,0.2721457783,0.6480582222
0.5257555048,0.8202277041,0.9755252443,0.0915066899
0.2941118779,0.3160354014,0.079383512,0.9284536478
0.3739355907,0.03654420157,0.6739743289,0.9528120973
0.29419617,0.51805441,0.9045835653,0.7490505883
0.5310119648,0.6208203268,0.4742606286,0.3676507759
0.5125560598,0.7230868178,0.2169032689,0.7029765452
0.2327168465,0.6364277654,0.2795775063,0.2811043827
0.8979887687,0.1998743986,0.08613967463,0.9648494063
0.1294458122,0.7281358242,0.8211700518,0.1424927984
0.5248705106,0.05235202234,0.694737517,0.3417365274
0.105957432,0.0782661771,0.353377834,0.4264573065
0.05000960571,0.01851489667,0.9413608403,0.7916105872
0.1786432061,0.3188072878,0.6071840694,0.8248621694
0.9414648898,0.4785030348,0.518844072,0.3565413326
0.1221956145,0.2269356501,0.7331870796,0.002850550161
0.5716554933,0.6233114984,0.5790584042,0.2773603021
0.1730667946,0.4564347627,0.8621081972,0.273265762
0.1009983871,0.8963154206,0.2995006491,0.2507624147
0.2215100698,0.2096828649,0.1735729661,0.903781264
0.3330121683,0.267720718,0.1360347054,0.614333623
0.8755253115,0.4478623642,0.5069228873,0.1761689228
0.4360566522,0.8249506306,0.6928263689,0.9157745832
0.7044681125,0.7095402004,0.0572922132,0.03404868293
0.8839520511,0.6504324482,0.3794442442,0.2141871103
0.3967513211,0.3325872301,0.3140587875,0.07799771453
0.7015490556,0.5156822991,0.2318011768,0.7166130113
0.8214439605,0.4407717872,0.3732999336,0.0608373783
0.3814907119,0.7550155142,0.4606977006,0.279687244
0.4810015128,0.5713080743,0.9571267966,0.7911382385
0.1399830435,0.3347918696,0.396570179,0.5270438421
0.4043555406,0.5788249986,0.1258690073,0.3861265257
0.8389573879,0.8884923,0.8540078804,0.2580059326
0.567489927,0.3935703215,0.5123037666,0.08297825614
0.6649010292,0.5047397207,0.4455378085,0.08797176467
0.7419214078,0.126242596,0.9996070356,0.0656406872
0.3205716608,0.3165993578,0.1545928953,0.8581764857
0.09301334727,0.0293350078,0.6565556741,0.5739346723
0.04526245346,0.8117784059,0.5066344308,0.8059965417
0.8019082609,0.107008973,0.7204698408,0.7683031151
0.02096199021,0.4251819274,0.2559741974,0.7306897745
0.2779619154,0.8492620183,0.3453713225,0.1594378021
0.7189442675,0.8200795519,0.5656964635,0.3874546949
0.8268401142,0.2338659328,0.2845078925,0.9406006062
0.230392405,0.7614423914,0.9392894531,0.9085208492
0.2983872919,0.577983841,0.8325117429,0.9899463893
0.8326874857,0.4784419176,0.4577629376,0.6361698618
0.2226103596,0.7416746801,0.2454421585,0.5807856723
0.957149102,0.6511369553,0.4111854565,0.866221428
0.2824314673,0.4507337841,0.7588600506,0.003965656235
0.07051188317,0.4761351008,0.5804476242,0.3893672504
0.6041561818,0.8835940935,0.8868809586,0.4961847797
0.6759397175,0.03400935916,0.4591437325,0.2819489882
0.5848526421,0.06301864146,0.7352196908,0.8726649543
0.3540005827,0.3903304092,0.7778206461,0.296387344
0.2523841429,0.5984939738,0.1774581341,0.05300754435
0.4954938297,0.05875264031,0.3935041707,0.4328594912
0.9197968567,0.5157119691,0.03371853057,0.5043298886
0.2989332114,0.7034343833,0.2026921006,0.6432289937
0.7779676203,0.6106893018,0.9000420564,0.02779597068
0.690483349,0.2790190886,0.09485751901,0.8814594722
0.5235313635,0.2361005871,0.9546586611,0.3497260033
0.1134144511,0.2428371284,0.9337047983,0.6507089883
0.688180997,0.5354244136,0.07696211614,0.4266233418
0.6924697609,0.2378552091,0.8706017587,0.07581266372
0.5287047461,0.2261218172,0.0558346545,0.1319617598
0.3247295924,0.2152011238,0.9353024164,0.794114798
0.1180358736,0.2645743906,0.6292058447,0.824062003
0.2270213278,0.6602085013,0.8513526299,0.4786758954
0.4661570022,0.7529998155,0.1153908718,0.2797118392
